min_move_bps,take_profit_bps,stop_bps,max_hold_s,pnl,realized_pnl,return_pct,trades,win_rate,avg_hold_s,max_drawdown,worst_trade_streak
2,3,3,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,3,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,3,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,5,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,5,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,7,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,7,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,3,7,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,3,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,3,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,3,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,5,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,5,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,7,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,7,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,5,7,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,3,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,3,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,3,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,5,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,5,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,7,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,7,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,7,7,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0
